Date,Buying_price,Selling_price,USD to VND
2024-05-01,83000000,85200000,25345.0
2024-05-02,82900000,85100000,25405.0
2024-05-03,83500000,85800000,25415.0
2024-05-04,83500000,85900000,25415.0
2024-05-05,83500000,85900000,25415.0
2024-05-06,84300000,86500000,25380.0
2024-05-07,85300000,87500000,25410.0
2024-05-08,85200000,87500000,25432.5
2024-05-09,87200000,89500000,25447.5
2024-05-10,90100000,92400000,25455.0
2024-05-11,88800000,91300000,25455.0
2024-05-12,88800000,91300000,25455.0
2024-05-13,87500000,90000000,25453.5
2024-05-14,86000000,89000000,25457.5
2024-05-15,87700000,90200000,25452.5
2024-05-16,87500000,90000000,25441.5
2024-05-17,87500000,90000000,25449.0
2024-05-18,87700000,90400000,25449.0
2024-05-19,87700000,90400000,25449.0
2024-05-20,89000000,91000000,25455.0
2024-05-21,88700000,90700000,25462.0
2024-05-22,88900000,90900000,25465.0
2024-05-23,87800000,89800000,25469.5
2024-05-24,87500000,89500000,25471.0
2024-05-25,87500000,89500000,25471.0
2024-05-26,87500000,89500000,25471.0
2024-05-27,87900000,89900000,25452.5
2024-05-28,88500000,90500000,25453.0
2024-05-29,88300000,90300000,25457.5
2024-05-30,86300000,88800000,25457.5
2024-05-31,83000000,87000000,25450.0
2024-06-01,81000000,83000000,25450.0
2024-06-02,81000000,83000000,25450.0
2024-06-03,77980000,79980000,25438.5
2024-06-04,77480000,78980000,25415.0
2024-06-05,76780000,77980000,25422.5
2024-06-06,74980000,76980000,25427.5
2024-06-07,74980000,76980000,25410.0
2024-06-08,74980000,76980000,25410.0
2024-06-09,74980000,76980000,25410.0
2024-06-10,74980000,76980000,25422.5
2024-06-11,74980000,76980000,25442.5
2024-06-12,74980000,76980000,25442.5
2024-06-13,74980000,76980000,25442.5
2024-06-14,74980000,76980000,25455.0
2024-06-15,74980000,76980000,25455.0
2024-06-16,74980000,76980000,25455.0
2024-06-17,74980000,76980000,25450.0
2024-06-18,74980000,76980000,25452.5
2024-06-19,74980000,76980000,25452.5
2024-06-20,74980000,76980000,25455.0
2024-06-21,74980000,76980000,25455.0
2024-06-22,74980000,76980000,25455.0
2024-06-23,74980000,76980000,25455.0
2024-06-24,74980000,76980000,25458.5
2024-06-25,74980000,76980000,25460.0
2024-06-26,74980000,76980000,25466.5
2024-06-27,74980000,76980000,25457.5
2024-06-28,74980000,76980000,25455.0
2024-06-29,74980000,76980000,25455.0
2024-06-30,74980000,76980000,25455.0
2024-07-01,74980000,76980000,25456.0
2024-07-02,74980000,76980000,25455.0
2024-07-03,74980000,76980000,25455.0
2024-07-04,74980000,76980000,25455.0
2024-07-05,74980000,76980000,25417.0
2024-07-06,74980000,76980000,25417.0
2024-07-07,74980000,76980000,25417.0
2024-07-08,74980000,76980000,25420.0
2024-07-09,74980000,76980000,25418.0
2024-07-10,74980000,76980000,25417.5
2024-07-11,74980000,76980000,25425.0
2024-07-12,75480000,76980000,25415.0
2024-07-13,75480000,76980000,25415.0
2024-07-14,75480000,76980000,25415.0
2024-07-15,75480000,76980000,25370.0
2024-07-16,75480000,76980000,25380.0
2024-07-17,75980000,76980000,25325.0
2024-07-18,78500000,80000000,25317.5
2024-07-19,78500000,80000000,25327.5
2024-07-20,78000000,80000000,25327.5
2024-07-21,78000000,80000000,25327.5
2024-07-22,78000000,80000000,25335.0
2024-07-23,77500000,79500000,25365.0
2024-07-24,77500000,79500000,25360.0
2024-07-25,77500000,79500000,25295.0
2024-07-26,77500000,79500000,25315.0
2024-07-27,77500000,79500000,25315.0
2024-07-28,77500000,79500000,25315.0
2024-07-29,77500000,79500000,25285.0
2024-07-30,77000000,79000000,25285.0
2024-07-31,77000000,79000000,25247.5
2024-08-01,77800000,79800000,25225.0
2024-08-02,78300000,79800000,25217.5
2024-08-03,78300000,79800000,25217.5
2024-08-04,78300000,79800000,25217.5
2024-08-05,78300000,79800000,25097.5
2024-08-06,77000000,79000000,25140.0
2024-08-07,77000000,79000000,25165.0
2024-08-08,76500000,78500000,25144.0
2024-08-09,76500000,78500000,25105.0
2024-08-10,76500000,78500000,25105.0
2024-08-11,76500000,78500000,25105.0
2024-08-12,76500000,78500000,25130.0
2024-08-13,78000000,80000000,25125.0
2024-08-14,78000000,80000000,25035.0
2024-08-15,78000000,80000000,25045.0
2024-08-16,78000000,80000000,25060.0
2024-08-17,78000000,80000000,25060.0
2024-08-18,78000000,80000000,25060.0
2024-08-19,78000000,80000000,24972.5
2024-08-20,79000000,81000000,24925.0
2024-08-21,79000000,81000000,24940.0
2024-08-22,79000000,81000000,24972.5
2024-08-23,79000000,81000000,24977.5
2024-08-24,79000000,81000000,24977.5
2024-08-25,79000000,81000000,24977.5
2024-08-26,79000000,81000000,24872.5
2024-08-27,79000000,81000000,24830.0
2024-08-28,79000000,81000000,24865.0
2024-08-29,79000000,81000000,24880.0
2024-08-30,79000000,81000000,24875.0
2024-08-31,79000000,81000000,24875.0
2024-09-01,79000000,81000000,24875.0
2024-09-02,79000000,81000000,24875.0
2024-09-03,79000000,81000000,24875.0
2024-09-04,79000000,81000000,24862.0
2024-09-05,78500000,80500000,24740.0
2024-09-06,78500000,80500000,24615.0
2024-09-07,78500000,80500000,24615.0
2024-09-08,78500000,80500000,24615.0
2024-09-09,78500000,80500000,24695.0
2024-09-10,78500000,80500000,24670.0
2024-09-11,78500000,80500000,24565.0
2024-09-12,78500000,80500000,24587.5
2024-09-13,78500000,80500000,24545.0
2024-09-14,78500000,80500000,24545.0
2024-09-15,78500000,80500000,24545.0
2024-09-16,78500000,80500000,24545.0
2024-09-17,80000000,82000000,24635.0
2024-09-18,80000000,82000000,24625.0
2024-09-19,79800000,81800000,24580.0
2024-09-20,80000000,82000000,24605.0
2024-09-21,80000000,82000000,24605.0
2024-09-22,80000000,82000000,24605.0
2024-09-23,80000000,82000000,24620.0
2024-09-24,81500000,83500000,24605.0
2024-09-25,81500000,83500000,24595.0
2024-09-26,81500000,83500000,24625.0
2024-09-27,81500000,83500000,24610.0
2024-09-28,81500000,83500000,24610.0
2024-09-29,81500000,83500000,24610.0
2024-09-30,81500000,83500000,24565.0
2024-10-01,82000000,84000000,24610.0
2024-10-02,82000000,84000000,24665.0
2024-10-03,82000000,84000000,24755.0
2024-10-04,82000000,84000000,24770.0
2024-10-05,82000000,84000000,24770.0
2024-10-06,82000000,84000000,24770.0
2024-10-07,82000000,84000000,24855.0
2024-10-08,83000000,85000000,24845.0
2024-10-09,83000000,85000000,24835.0
2024-10-10,82500000,84500000,24845.0
2024-10-20,84000000,86000000,25165.0
2024-10-21,86000000,88000000,25305.0
2024-10-22,87000000,89000000,25405.0
2024-10-23,87000000,89000000,25410.0
2024-10-25,87000000,89000000,25370.0
2024-10-26,87000000,89000000,25370.0
2024-10-27,87000000,89000000,25370.0
2024-10-28,87000000,89000000,25355.0
2024-10-29,87000000,89000000,25310.0
2024-10-30,88000000,90000000,25295.0
